Date,activityType,duration,cals_burned,meters
2019-10-19,HIIT,2044.41,420.464,
2019-10-25,HIIT,1860.00,,
2019-11-01,HIIT,1800.00,,
2019-11-13,HIIT,1931.05,355.91,
2019-11-16,HIIT,2280.00,,
2019-11-18,HIIT,1800.00,,
2019-11-19,HIIT,2067.16,277.797,
2019-11-23,HIIT,1800.00,,
2019-11-25,HIIT,2280.00,,
2019-12-04,HIIT,1937.38,443.546,
2019-12-07,HIIT,2220.00,,
2019-12-08,HIIT,3692.25,413.552,
2020-07-29,HIIT,1867.96,213.259,
2020-08-04,HIIT,1945.81,396.026,
2020-08-06,HIIT,1958.59,427.795,
2020-08-10,HIIT,2085.28,359.258,
2020-09-02,HIIT,1742.96,249.087,
2020-12-26,HIIT,1504.76,280.239,
2021-01-21,HIIT,1894.58,290.237,
2021-04-24,HIIT,1632.57,313.542,
2021-05-05,HIIT,1205.17,221.009,
2021-08-07,HIIT,3419.86,630.914,
2021-12-10,HIIT,1447.23,246.412,
2022-03-21,HIIT,1801.50,335.255,
2022-04-01,HIIT,637.99,101.21,
2022-08-26,HIIT,935.40,167.933,
2023-04-01,HIIT,1801.63,341.222,
2023-04-16,HIIT,2468.23,414.005,
2023-04-30,HIIT,1802.50,358.644,
2023-05-18,HIIT,2204.06,433.734,
2023-07-31,HIIT,1856.41,354.659,
2023-12-17,HIIT,1953.64,300.127,
2024-05-15,HIIT,1940.59,409.578,
2025-03-01,HIIT,657.43,164.34,
2025-03-21,HIIT,576.95,142.385,
2025-04-01,HIIT,780.00,117.901,
2025-04-09,HIIT,2359.83,501.833,
2020-06-14,Cycling,3700.00,430,8280.19
2020-08-12,Cycling,2160.00,233,7177.67
2020-08-17,Cycling,1651.96,148.087,
2020-08-18,Cycling,2080.20,168.499,
2020-08-20,Cycling,3387.00,255,7600.72
2020-08-28,Cycling,1100.88,145.17,
2020-09-02,Cycling,866.00,101,2223.86
2020-09-09,Cycling,1697.52,232.338,
2020-09-16,Cycling,329.17,22.335,
2020-09-19,Cycling,1762.00,205,6656.99
2020-10-08,Cycling,1805.88,287.318,
2020-10-12,Cycling,1805.34,166.538,6790.1
2020-10-12,Cycling,1706.00,198,6653.14
2020-12-03,Cycling,1823.27,246.102,
2020-12-05,Cycling,1255.39,163.609,
2020-12-07,Cycling,1891.79,193.29,
2020-12-07,Cycling,383.72,35.2503,
2020-12-07,Cycling,1451.15,120.767,
2020-12-13,Cycling,3071.23,527.212,
2020-12-13,Cycling,1842.93,300.037,
2020-12-18,Cycling,1897.16,232.473,
2020-12-21,Cycling,1550.31,236.791,
2021-01-04,Cycling,2041.57,276.45,
2021-01-08,Cycling,236.55,33.302,
2021-01-12,Cycling,1546.80,167.921,
2021-01-17,Cycling,1755.16,211.647,
2021-01-19,Cycling,1279.10,163.311,
2021-01-24,Cycling,1795.95,242.849,
2021-01-26,Cycling,1779.57,225.775,
2021-01-30,Cycling,1873.22,324.909,
2021-02-02,Cycling,1708.03,254.562,
2021-02-07,Cycling,1813.02,214.48,
2021-02-08,Cycling,1811.49,327.632,
2021-02-12,Cycling,1836.87,293.265,
2021-02-15,Cycling,1948.92,287.72,
2021-02-17,Cycling,1733.00,256.01,
2021-02-27,Cycling,1737.13,243.687,
2021-02-28,Cycling,1604.03,206.348,
2021-03-02,Cycling,1750.90,295.221,
2021-03-11,Cycling,1432.95,168.641,
2021-03-29,Cycling,1868.51,279.853,
2021-04-14,Cycling,1319.33,216.566,
2021-04-19,Cycling,1664.82,242.527,
2021-04-24,Cycling,1617.75,287.518,
2021-04-29,Cycling,1730.74,266.076,
2021-05-23,Cycling,1969.99,80.7774,3572.52
2021-06-02,Cycling,3026.18,146.991,6539.54
2021-06-17,Cycling,1128.28,97.9255,3745.15
2021-07-02,Cycling,1957.77,170.94,7371.17
2021-07-14,Cycling,2055.25,240.094,8290.83
2021-07-14,Cycling,1838.24,150.71,4202.75
2021-07-22,Cycling,828.83,89.7451,2994.44
2021-07-22,Cycling,1181.67,95.296,3521.45
2021-07-23,Cycling,530.55,76.456,2880.79
2021-08-02,Cycling,1982.49,86.7003,4948.31
2021-09-06,Cycling,1116.05,146.064,4093.59
2021-10-17,Cycling,431.15,59.5771,1640.01
2021-10-17,Cycling,892.01,53.0884,1921.01
2021-10-22,Cycling,553.47,57.856,2115.27
2022-02-23,Cycling,645.27,92.5952,
2022-06-26,Cycling,906.54,103.131,3487.09
2023-03-25,Cycling,697.12,23.7393,1330.43
2023-04-14,Cycling,566.70,15.0879,1004.89
2023-10-28,Cycling,351.29,32.0208,
2024-01-04,Cycling,611.37,69.9418,
2024-01-18,Cycling,1219.08,196.398,
2024-01-23,Cycling,1517.17,277.496,
2024-02-06,Cycling,3610.19,611.023,
2024-02-13,Cycling,209.08,20.5196,
2024-02-27,Cycling,1522.99,150.263,
2024-03-10,Cycling,1874.28,185.452,
2024-04-21,Cycling,1140.00,239.001,1477.79
2024-06-09,Cycling,1918.86,177.155,
2024-06-14,Cycling,1597.41,239.743,7195.6
2024-06-28,Cycling,755.53,123.883,
2024-07-12,Cycling,2188.22,317.413,
2024-07-21,Cycling,1302.89,97.9562,4259.05
2024-07-21,Cycling,908.41,62.9508,3178.1
2024-07-24,Cycling,1203.04,143.093,
2025-01-03,Cycling,2140.15,252.993,
2025-03-03,Cycling,1225.84,240.197,
2025-03-06,Cycling,3002.48,614.541,
2025-03-20,Cycling,1805.45,340.804,
2025-04-01,Cycling,3604.03,637.846,
2025-04-06,Cycling,2701.83,514.271,
2025-04-14,Cycling,161.52,18.27,
2020-10-06,Walking,2460.00,200,
2021-03-06,Walking,1397.69,131.647,1946.3
2021-04-01,Walking,2891.75,321.413,2066.33
2021-04-09,Walking,3915.76,409.432,2686.53
2021-04-19,Walking,1643.93,247.938,1627.13
2021-04-25,Walking,2593.91,336.588,1939.51
2021-05-16,Walking,2832.57,304.915,2311.66
2021-05-31,Walking,727.31,103.708,617.387
2021-06-15,Walking,2100.77,306.91,1850.03
2021-07-29,Walking,2153.05,259.675,1985.2
2021-08-11,Walking,1208.21,102.514,982.451
2021-08-15,Walking,2295.43,304.989,2026.15
2021-08-18,Walking,2184.55,139.789,1411.06
2021-08-29,Walking,2228.09,257.483,1756.28
2021-10-21,Walking,1394.82,108.039,1421.36
2022-01-29,Walking,790.16,84.9209,1127.88
2022-01-31,Walking,1537.63,147.881,2229.53
2022-02-08,Walking,2200.56,168.598,2357.73
2022-02-11,Walking,1928.91,214.829,2810.33
2022-02-28,Walking,887.10,113.793,1343.68
2022-03-03,Walking,1568.79,218.986,2647
2022-03-15,Walking,3271.43,188.968,1794.64
2022-04-03,Walking,1074.04,126.84,1712.91
2022-04-10,Walking,1451.62,167.637,2325.96
2022-04-14,Walking,1879.09,191.736,2366.1
2022-04-26,Walking,968.45,70.1469,911.824
2022-04-26,Walking,802.99,81.2244,1134.88
2022-04-29,Walking,1982.06,104.186,1290.66
2022-05-10,Walking,1746.00,115.704,1241.26
2022-05-12,Walking,1005.59,151.518,1730.74
2022-05-18,Walking,1390.26,112.472,1589.78
2022-05-21,Walking,2588.93,250.493,1798.88
2022-05-27,Walking,1511.48,148.894,1796.6
2022-05-29,Walking,2914.16,255.673,1571.07
2022-05-31,Walking,1447.10,154.696,1431.71
