date,lift_volume_lbs
2017-07-04,9055
2017-07-12,10950
2017-07-13,5650
2017-07-17,3625
2017-07-19,2680
2017-07-20,2915
2017-07-22,8120
2017-07-30,4685
2017-07-31,7530
2017-08-11,6365
2017-08-13,4525
2017-08-16,7000
2017-08-17,7805
2017-09-02,4190
2017-09-04,8010
2017-09-06,7760
2017-09-08,10629
2017-09-11,9515
2017-09-21,11255
2017-09-24,7890
2017-10-03,11644
2017-10-13,7190
2017-10-16,10365
2017-10-23,7515
2017-10-26,6990
2017-11-01,6035
2017-11-04,5840
2017-11-05,0
2017-11-09,9695
2017-11-11,10040
2017-11-16,5385
2017-11-18,10635
2017-11-26,10570
2017-11-28,13370
2017-12-10,9390
2017-12-16,8420
2017-12-23,7300
2018-01-02,6945
2018-01-08,16245
2018-01-14,0
2018-01-19,4130
2018-01-21,6135
2018-02-01,6770
2018-02-03,8980
2018-02-09,2450
2018-02-13,7410
2018-02-20,4935
2018-03-01,7215
2018-03-04,10220
2018-03-07,7200
2018-03-10,11062.5
2018-03-13,7410
2018-03-19,10855
2018-04-07,11240
2018-04-08,6325
2018-04-10,6370
2018-04-30,1815
2018-05-01,6350
2018-05-08,10060
2018-05-18,2555
2018-05-25,11640
2018-06-03,6490
2018-06-08,1115
2018-06-21,3410
2018-06-27,8895
2018-06-30,9410
2018-07-10,6825
2018-07-15,7300
2018-07-19,7770
2018-07-23,0
2018-07-27,10267.5
2018-07-28,8670
2018-08-03,11015
2018-08-04,6355
2018-08-12,9070
2018-08-24,7865
2018-08-28,0
2018-09-03,10235
2018-09-08,4635
2018-09-09,5580
2018-09-22,7835
2018-09-23,10975
2018-09-27,6915
2018-09-30,8335
2018-10-11,8397.5
2018-10-12,7965
2018-10-21,5235
2018-10-27,5730
2018-10-28,9815
2018-10-30,11685
2018-11-03,3985
2018-11-06,13365
2018-11-08,8350
2018-11-16,7255
2018-11-19,12945
2018-11-25,9000
2018-11-26,12240
2018-12-02,5690
2018-12-06,8092.5
2018-12-07,7795
2018-12-16,8560
2018-12-18,9110
2019-01-01,2485
2019-01-05,3840
2019-01-08,0
2019-01-09,8600
2019-01-12,8665
2019-01-13,0
2019-01-20,12825
2019-01-23,6350
2019-01-25,9025
2019-01-27,0
2019-02-02,4985
2019-02-05,5175
2019-02-09,6510
2019-02-11,7730
2019-02-13,6320
2019-02-21,9865
2019-02-23,6835
2019-02-26,11630
2019-03-01,5325
2019-03-06,4590
2019-03-16,9720
2019-03-17,0
2019-03-18,9695
2019-03-19,9850
2019-03-22,10865
2019-03-30,11392.5
2019-04-01,7845
2019-04-04,11030
2019-04-08,10800
2019-04-10,8795
2019-04-13,9440
2019-04-16,5850
2019-04-20,1905
2019-04-22,8760
2019-04-23,5200
2019-04-26,0
2019-04-29,10925
2019-05-09,8850
2019-05-10,12315
2019-05-12,12610
2019-05-15,12165
2019-05-17,11855
2019-05-18,13865
2019-05-20,13715
2019-05-23,12790
2019-05-29,15010
2019-05-31,13945
2019-06-02,13075
2019-06-05,14485
2019-06-16,12990
2019-06-18,13315
2019-06-23,12537.5
2019-06-25,14075
2019-06-28,12965
2019-06-30,13180
2019-07-02,14850
2019-07-06,14620
2019-07-07,6405
2019-07-10,9040
2019-07-12,12555
2019-07-14,5697
2019-07-17,9950
2019-07-19,0
2019-07-23,11830
2019-07-25,7585
2019-07-27,11205
2019-08-02,5995
2019-08-07,11470
2019-08-09,4535
2019-08-15,1350
2019-08-22,13260
2019-08-27,7225
2019-09-03,6795
2019-09-06,5150
2019-09-26,12350
2019-09-29,0
2019-10-11,1800
2019-12-08,5950
2019-12-09,5425
2019-12-15,7235
2019-12-18,12180
2020-01-01,6455
2020-01-04,7995
2020-01-13,5410
2020-01-16,8945
2020-01-19,9210
2020-01-24,8755
2020-01-26,5635
2020-02-01,275
2020-02-02,7805
2020-02-07,7445
2020-02-09,8260
2020-02-14,7550
2020-02-16,9690
2020-02-18,7115
2020-02-21,8365
2020-02-23,6785
2020-02-27,10030
2020-03-01,7395
2020-03-12,10365
2020-03-15,7475
2020-03-17,9115
2020-03-20,7445
2020-03-23,8715
2020-03-26,7845
2020-03-29,10105
2020-04-01,7895
2020-04-04,8645
2020-04-07,7215
2020-04-10,10332.5
2020-04-13,6850
2020-04-16,10450
2020-04-19,7995
2020-04-21,9230
2020-04-24,7525
2020-04-27,9185
2020-04-30,8065
2020-05-06,10185
2020-05-09,1650
2020-05-11,8290
2020-05-14,9385
2020-05-16,7635
2020-05-19,9420
2020-05-21,8300
2020-05-24,17390
2020-05-27,6980
2020-05-29,9070
2020-06-01,8330
2020-06-04,9575
2020-06-09,7825
2020-06-17,10725
2020-06-23,8460
2020-06-26,9415
2020-06-28,7625
2020-06-30,0
2020-07-02,9810
2020-07-08,3885
2020-07-16,10850
2020-07-19,8345
2020-08-23,6260
2020-08-24,4980
2020-08-29,7455
2020-08-31,8690
2020-09-05,6120
2020-09-09,6800
2020-09-10,11180
2020-09-13,8955
2020-09-16,8690
2020-09-21,8180
2020-09-22,9905
2020-09-25,9200
2020-09-28,9095
2020-10-01,9160
2020-10-03,9495
2020-10-07,2430
2020-10-14,8580
2020-10-17,10795
2020-10-21,9505
2020-10-25,10190
2020-11-07,9560
2020-11-12,9825
2020-11-15,9210
2020-11-18,11210
2020-11-21,9405
2020-11-24,10545
2020-11-27,10350
2020-11-29,9740
2020-12-02,9040
2020-12-05,11890
2020-12-08,10310
2020-12-11,10815
2020-12-19,7855
2020-12-23,4920
2020-12-30,8090
2021-01-03,10895
2021-01-05,9590
2021-01-10,6900
2021-01-13,10450
2021-01-15,8530
2021-01-17,8925
2021-01-24,22520
2021-01-25,9795
2021-01-28,11015
2021-01-30,10270
2021-02-02,11115
2021-02-05,9380
2021-02-10,9290
2021-02-12,9450
2021-02-17,7415
2021-02-21,2850
2021-02-25,14380
2021-02-28,11260
2021-03-05,11665
2021-03-07,9160
2021-03-11,11560
2021-03-13,9245
2021-03-18,9215
2021-03-21,11175
2021-03-25,22860
2021-03-31,7470
2021-04-06,0
2021-04-08,9580
2021-04-11,11530
2021-04-15,10845
2021-04-17,10950
2021-04-20,8300
2021-04-29,10375
2021-05-01,2050
2021-05-04,10830
2021-05-06,7565
2021-05-07,8465
2021-05-10,10820
2021-05-11,2400
2021-05-13,7875
2021-05-14,0
2021-05-18,8755
2021-05-21,12025
2021-05-24,9135
2021-05-27,11825
2021-05-31,9935
2021-06-02,15170
2021-06-09,4830
2021-06-11,11415
2021-06-13,3650
2021-06-15,12170
2021-06-17,10620
2021-06-28,10350
2021-06-30,10770
2021-10-01,2925
2021-10-04,16490
2021-10-06,7675
2021-10-13,7630
2021-10-25,7795
2021-11-12,9830
2021-11-19,9220
2021-11-25,9490
2021-12-06,7940
2022-01-03,10515
2022-01-08,11315
2022-01-16,7230
2022-01-19,10695
2022-02-02,10065
2022-02-05,11745
2022-02-21,8485
2022-03-05,13195
2022-03-08,8850
2022-03-10,11315
2022-03-23,8590
2022-03-25,11500
2022-04-15,14330
2022-04-18,11585
2022-04-29,4710
2022-05-13,11705
2022-05-27,7200
2022-06-09,12175
2022-06-11,11630
2022-06-14,14535
2022-06-16,1710
2022-06-24,10520
2022-06-28,9060
2022-07-08,12020
2022-08-06,11835
2022-09-09,9495
2022-09-12,9565
2022-09-19,7350
2022-10-05,15610
2022-10-14,7610
