Date,active_calories,sedentary_time,steps,activity_score,readiness_score,sleep_score,temperature_deviation,average_breath,average_heart_rate,average_hrv,awake_time,deep_sleep_duration,efficiency,latency,light_sleep_duration,rem_sleep_duration,time_in_bed,total_sleep_duration
8/12/19,8,8160,126,93,,,,,,,,,,,,,,
8/13/19,223,18840,4391,94,84,,-0.27,,,,,,,,,,,
8/14/19,138,21540,2674,88,91,,-0.3,,,,,,,,,,,
8/15/19,120,15660,2371,77,90,,0.12,,,,,,,,,,,
8/16/19,167,25920,3298,72,80,,0.01,,,,,,,,,,,
8/17/19,234,43320,4671,57,65,,-0.02,,,,,,,,,,,
8/18/19,277,38280,5137,47,89,,-0.08,,,,,,,,,,,
8/19/19,612,15420,7053,64,90,,0.13,,,,,,,,,,,
8/20/19,722,40740,7759,71,83,,-0.02,,,,,,,,,,,
8/21/19,188,15960,3600,76,84,,0.23,,,,,,,,,,,
8/22/19,307,37440,5199,73,89,,0.06,,,,,,,,,,,
8/23/19,218,33060,4364,72,86,,0.37,,,,,,,,,,,
8/24/19,362,35220,6852,68,82,,-0.02,,,,,,,,,,,
8/25/19,334,46740,6806,62,67,,0.15,,,,,,,,,,,
8/26/19,316,15420,5791,66,79,,-0.12,,,,,,,,,,,
8/27/19,764,12360,7641,74,75,,0.16,,,,,,,,,,,
8/28/19,215,38700,3810,68,84,,-0.06,,,,,,,,,,,
8/29/19,801,15060,8898,82,85,,0.02,,,,,,,,,,,
8/30/19,214,17220,4147,82,76,,0.12,,,,,,,,,,,
8/31/19,754,37380,9537,84,88,,-0.32,,,,,,,,,,,
9/1/19,350,39960,6916,81,71,,0.17,,,,,,,,,,,
9/2/19,828,34080,9924,90,82,,-0.1,,,,,,,,,,,
9/3/19,436,16680,3952,90,82,,-0.1,,,,,,,,,,,
9/4/19,211,17760,4315,89,84,,0.02,,,,,,,,,,,
9/5/19,619,31500,7764,86,75,,0.16,,,,,,,,,,,
9/6/19,498,26760,4081,87,76,,-0.08,,,,,,,,,,,
9/7/19,554,29340,10299,86,84,,-0.03,,,,,,,,,,,
9/8/19,360,39780,7184,83,80,,0.35,,,,,,,,,,,
9/9/19,424,46140,8791,71,78,,0.01,,,,,,,,,,,
9/10/19,361,46260,7265,70,67,,0.34,,,,,,,,,,,
9/11/19,403,40740,8203,72,76,,0.05,,,,,,,,,,,
9/12/19,186,23520,3378,69,78,,0,,,,,,,,,,,
9/13/19,259,17820,5024,63,90,,-0.33,,,,,,,,,,,
9/14/19,259,34620,4536,52,70,,-0.05,,,,,,,,,,,
9/15/19,856,22800,9307,73,93,,0.14,,,,,,,,,,,
9/16/19,316,14760,5202,74,83,,-0.05,,,,,,,,,,,
9/17/19,702,48060,7886,74,84,,-0.11,,,,,,,,,,,
9/18/19,168,31800,3166,79,78,,-0.1,,,,,,,,,,,
9/19/19,344,49140,6397,73,76,,-0.15,,,,,,,,,,,
9/20/19,649,29280,13317,84,84,,-0.32,,,,,,,,,,,
9/21/19,279,22740,6126,81,83,,0.02,,,,,,,,,,,
9/22/19,549,27360,10164,71,82,,0.07,,,,,,,,,,,
